Napoleon Myriel {'weight': 1}
Prouvaire Bahorel {'weight': 2}
Prouvaire Bossuet {'weight': 2}
Prouvaire Joly {'weight': 2}
Prouvaire Grantaire {'weight': 1}
Feuilly Courfeyrac {'weight': 6}
Feuilly Bahorel {'weight': 3}
Feuilly Bossuet {'weight': 6}
Feuilly Joly {'weight': 5}
Feuilly Grantaire {'weight': 1}
Courfeyrac Bahorel {'weight': 6}
Courfeyrac Bossuet {'weight': 12}
Courfeyrac Joly {'weight': 5}
Courfeyrac Grantaire {'weight': 2}
Courfeyrac MmeHucheloup {'weight': 1}
Bahorel Bossuet {'weight': 4}
Bahorel Joly {'weight': 5}
Bahorel Grantaire {'weight': 1}
Bahorel MmeHucheloup {'weight': 1}
Bossuet Joly {'weight': 7}
Bossuet Grantaire {'weight': 3}
Bossuet MmeHucheloup {'weight': 1}
Joly Grantaire {'weight': 2}
Joly MmeHucheloup {'weight': 1}
Grantaire MmeHucheloup {'weight': 1}
Gueulemer Babet {'weight': 6}
Gueulemer Claquesous {'weight': 4}
Gueulemer Montparnasse {'weight': 2}
Gueulemer Brujon {'weight': 3}
Babet Claquesous {'weight': 4}
Babet Montparnasse {'weight': 2}
Babet Brujon {'weight': 3}
Claquesous Montparnasse {'weight': 2}
Claquesous Brujon {'weight': 1}
Montparnasse Brujon {'weight': 1}
Child1 Child2 {'weight': 3}
